username,block,status,reason,row
BMM_Rajepur_Farrukhabad,Rajepur,created,,447
BMM_Barhpur_Farrukhabad,Barhpur,created,,448
BMM_Kaimganj_Farrukhabad,Kaimganj,created,,449
BMM_Kamalganj_Farrukhabad,Kamalganj,created,,450
BMM_Mohamdabad_Farrukhabad,Mohamdabad,created,,451
BMM_Shamsabad_Farrukhabad,Shamsabad,created,,452
BMM_Akbarpur_Kanpur_Dehat,Akbarpur,created,,453
BMM_Amrodha_Kanpur_Dehat,Amrodha,created,,454
BMM_Derapur_Kanpur_Dehat,Derapur,created,,455
BMM_Jhinjhak_Kanpur_Dehat,Jhinjhak,created,,456
BMM_Maitha_Kanpur_Dehat,Maitha,created,,457
BMM_Malasa_Kanpur_Dehat,Malasa,created,,458
BMM_Rajpur_Kanpur_Dehat,Rajpur,created,,459
BMM_Rasulabad_Kanpur_Dehat,Rasulabad,created,,460
BMM_Sandalpur_Kanpur_Dehat,Sandalpur,created,,461
BMM_Sarbankhera_Kanpur_Dehat,Sarbankhera,created,,462
BMM_Bhitargaon_Kanpur_Nagar,Bhitargaon,created,,463
BMM_Bilhaur_Kanpur_Nagar,Bilhaur,created,,464
BMM_Chaubeypur_Kanpur_Nagar,Chaubeypur,created,,465
BMM_Ghatampur_Kanpur_Nagar,Ghatampur,created,,466
BMM_Kakwan_Kanpur_Nagar,Kakwan,created,,467
BMM_Kalyanpur_Kanpur_Nagar,Kalyanpur,created,,468
BMM_Patara_Kanpur_Nagar,Patara,created,,469
BMM_Sarsol_Kanpur_Nagar,Sarsol,created,,470
BMM_Shivrajpur_Kanpur_Nagar,Shivrajpur,created,,471
BMM_Vidhunu_Kanpur_Nagar,Vidhunu,created,,472
BMM_Chhibramau_Kannauj,Chhibramau,created,,473
BMM_Gughrapur_Kannauj,Gughrapur,created,,474
BMM_Haseran_Kannauj,Haseran,created,,475
BMM_Jalalabad_Kannauj,Jalalabad,created,,476
BMM_Kannauj_Kannauj,Kannauj,created,,477
BMM_Saurikh_Kannauj,Saurikh,created,,478
BMM_Talgram_Kannauj,Talgram,created,,479
BMM_Umarda_Kannauj,Umarda,created,,480
BMM_Sandila_Hardoi,Sandila,created,,481
BMM_Ahirori_Hardoi,Ahirori,created,,482
BMM_Bawan_Hardoi,Bawan,created,,483
BMM_Behendar_Hardoi,Behendar,created,,484
BMM_Bharawan_Hardoi,Bharawan,created,,485
BMM_Bharkhani_Hardoi,Bharkhani,created,,486
BMM_Bilgram_Hardoi,Bilgram,created,,487
BMM_Hariyawan_Hardoi,Hariyawan,created,,488
BMM_Harpalpur_Hardoi,Harpalpur,created,,489
BMM_Kachauna_Hardoi,Kachauna,created,,490
